genus,2014-07-02,2014-07-09,2014-07-15,2014-07-23,2014-07-31,2014-08-07,2014-08-13,2014-08-21,2014-08-28,2014-09-09,2014-09-12,2014-09-19,2014-09-22
o__Alismatales_f__Butomaceae,0,0,0,0,0,0,0.001571504,0,0,0,0,0,0
o__Apiales_f__Araliaceae,0,0,0,0,0,0,0.0065608,0.026563829,0.17664944,0.286320722,0.120755967,0.056712448,0.005010941
o__Asparagales_f__Amaryllidaceae,0,0,0,0,0,0,0,0,0.050104519,0.029030325,0,0,0
o__Asparagales_f__Asparagaceae,0,0,0,0,0,0,0,0.001311695,0,0,0,0,0
o__Asparagales_f__Asphodelaceae,0,0,0,0,0,0,0,0,0,0,0,0,0.029639732
o__Asterales_f__Asteraceae,0.067000069,0.020606464,0.013182619,0.231401268,0.46827891,0.263236255,0.204240562,0.310567122,0.16315692,0.020027439,0.199328644,0.273247384,0.367756599
o__Brassicales_f__Brassicaceae,0.032959407,0,0,0,0,0,0.002568475,0,0.048773298,0,0.001571264,0,0.001213966
o__Caryophyllales_f__Amaranthaceae,0,0,0,0,0,0,0,0,0,0,0,0,0.014289655
o__Caryophyllales_f__Phytolaccaceae,0.002227169,0,0,0,0,0.006001777,0.009913966,0.007095435,0.010157711,0.001308758,0,0,0
o__Caryophyllales_f__Polygonaceae,0,0,0,0,0,0,0,0,0.00107438,0,0,0,0.003508985
o__Cornales_f__Hydrangeaceae,0.036709102,0.004112368,0,0,0.105435604,0.180441408,0.116626321,0.378176333,0.190827272,0.128612746,0.015946292,0.09131305,0.061028403
o__Cucurbitales_f__Cucurbitaceae,0,0.001442515,0,0,0.00457193,0.001269769,0.004783021,0,0,0,0,0.004048579,0.004168607
o__Dipsacales_f__Adoxaceae,0.06146208,0,0,0,0,0.012608438,0,0,0.005755438,0,0.017588425,0,0
o__Ericales_f__Balsaminaceae,0,0,0,0,0,0,0,0.042954762,0,0.050165272,0,0.046868223,0.093866716
o__Fabales_f__Fabaceae,0.754790437,0.738572908,0.748790605,0.60284844,0.405072155,0.442614395,0.636363116,0.220249616,0.225935755,0.195415663,0.621905369,0.381763668,0.167867969
o__Fagales_f__Fagaceae,0,0,0,0,0,0,0,0,0,0,0,0.043050883,0.020708435
o__Lamiales_f__Lamiaceae,0,0,0,0,0,0.002114975,0,0,0,0,0,0,0
o__Lamiales_f__Plantaginaceae,0.011663746,0.003947873,0.003245039,0.049875759,0.007857686,0.01808976,0.002337996,0.006004569,0.023712987,0.009848629,0.008616571,0.008987206,0.00347982
o__Malvales_f__Malvaceae,0.02344414,0,0,0,0,0,0,0,0,0,0,0,0
o__Myrtales_f__Lythraceae,0,0,0,0,0.00724663,0.029132616,0,0,0,0,0,0,0
o__Ranunculales_f__Papaveraceae,0,0.205947387,0.01828072,0.045136799,0,0,0,0.006084629,0,0,0,0,0
o__Ranunculales_f__Ranunculaceae,0,0,0,0,0,0,0,0,0.099408607,0.277380078,0,0.09400856,0.182918465
o__Rosales_f__Cannabaceae,0,0,0,0,0,0,0,0,0,0.001890369,0,0,0
o__Rosales_f__Rosaceae,0,0.009304835,0.006010204,0.070737733,0,0.044490607,0,0,0,0,0.002852382,0,0.042052885
o__Rosales_f__Ulmaceae,0,0,0,0,0,0,0.003172994,0,0,0,0,0,0
o__Sapindales_f__Rutaceae,0,0,0,0,0,0,0.001674266,0,0,0,0,0,0
o__Saxifragales_f__Crassulaceae,0,0,0,0,0,0,0,0,0.004443672,0,0,0,0.002488824
o__Solanales_f__Convolvulaceae,0,0,0,0,0.001537085,0,0,0,0,0,0,0,0
o__Solanales_f__Solanaceae,0,0,0.001700346,0,0,0,0.010186981,0,0,0,0,0,0
o__Vitales_f__Vitaceae,0.009743849,0.016065651,0.208790468,0,0,0,0,0,0,0,0.011435087,0,0
